audio_file_absolute_path,audio_file_relative_path,min_amplitude_absolute
D:\application-programming-labs-2025\sounds\transport_027_transport_sound.mp3,sounds\transport_027_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_028_transport_sound.mp3,sounds\transport_028_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_029_transport_sound.mp3,sounds\transport_029_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_030_transport_sound.mp3,sounds\transport_030_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_031_transport_sound.mp3,sounds\transport_031_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_032_transport_sound.mp3,sounds\transport_032_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_033_transport_sound.mp3,sounds\transport_033_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_034_transport_sound.mp3,sounds\transport_034_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_035_transport_sound.mp3,sounds\transport_035_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_036_transport_sound.mp3,sounds\transport_036_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_037_transport_sound.mp3,sounds\transport_037_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_038_transport_sound.mp3,sounds\transport_038_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_039_transport_sound.mp3,sounds\transport_039_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_040_transport_sound.mp3,sounds\transport_040_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_041_transport_sound.mp3,sounds\transport_041_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_042_transport_sound.mp3,sounds\transport_042_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_043_transport_sound.mp3,sounds\transport_043_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_044_transport_sound.mp3,sounds\transport_044_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_045_transport_sound.mp3,sounds\transport_045_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_046_transport_sound.mp3,sounds\transport_046_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_047_transport_sound.mp3,sounds\transport_047_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_048_transport_sound.mp3,sounds\transport_048_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_049_transport_sound.mp3,sounds\transport_049_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_050_transport_sound.mp3,sounds\transport_050_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_051_transport_sound.mp3,sounds\transport_051_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_052_transport_sound.mp3,sounds\transport_052_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_053_transport_sound.mp3,sounds\transport_053_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_054_transport_sound.mp3,sounds\transport_054_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_055_transport_sound.mp3,sounds\transport_055_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_056_transport_sound.mp3,sounds\transport_056_transport_sound.mp3,0.0
D:\application-programming-labs-2025\sounds\transport_057_transport_sound.mp3,sounds\transport_057_transport_sound.mp3,0.0
